title,url,company,location,tags,easily_apply,description,page
Product Engineer (Backend),https://uk.indeed.com/viewjob?jk=4c8bba535cb6dcd1,Granola,London,Relocation assistance,No,"In this role, you will deep dive into scaling challenges, build secure and reliable infrastructure, and develop robust backend solutions that power exciting new…",14
Software Engineer (ML Engineering),https://uk.indeed.com/viewjob?jk=b9c54f7ffb077579,Isomorphic Labs,Hybrid work in London,,No,"We are looking forengineerswith different levels of experience - Mid through to Senior, Principal, Staff or equivalent levels.",14
Software Engineer,https://uk.indeed.com/viewjob?jk=838fc5b3964c221f,G-Research,London,Company pension;Company events,No,"Coaching and upskillingengineersacross the firm in using platform APIs, SDKs and self‑service tooling effectively.",14
Senior AI Engineer - Generative AI and Search - Artificial Intelligence,https://uk.indeed.com/viewjob?jk=bf3b858776b94749,Bloomberg,London WC2N 5DU,,No,"Collaborate closely with cross-functional teams, including product managers andengineers, to integrateAIsolutions into client facing products , enhance…",14
Software Engineer (Back-End),https://uk.indeed.com/viewjob?jk=b466fe9581657cbd,NatureMetrics,Hybrid work in London,Annual leave;Company pension;Cycle to work scheme,No,"This role requires close working with the wider technical team (Data, Bioinformatics, Product) to build a transformational biodiversity platform.",14
"Head of Data Science, AI and Data Visualisation",https://uk.indeed.com/viewjob?jk=5245fb04d687347b,pladis,Chiswick Park Station,,No,"Collaborate with product owners, dataengineers, and business stakeholders to ensure successful deployment and adoption ofAIsolutions.",14
Staff Backend Engineer,https://uk.indeed.com/viewjob?jk=4128c362f0a0c540,Monzo,London,Flexible schedule,No,"London / UK Remote | StaffEngineer(L60) £115,000 - £150,000 + Benefits | Technology - Engineering.;Kafka for our asynchronous message queue.",14
Sr. ML Engineer,https://uk.indeed.com/viewjob?jk=3c8659f9a157efc0,Veritone,London,,No,"If you can translate complex problems into actionable insights, then please continue reading.;Driving the definition, development and evolution of the…",14
Senior Machine Learning Engineer - Knowledge Graph(Remote),https://uk.indeed.com/viewjob?jk=5f0a3dcf1883cbe9,BenchSci,Remote in London,,No,"Minimum 3, ideally 5+ years of experience working as an ML engineer.;Work closely with other MLengineersto ensure alignment on technical solutioning and…",14
Senior Machine Learning Engineer (Remote),https://uk.indeed.com/viewjob?jk=631721e241d325a5,Forbes Advisor,Remote in London,Flexible schedule,No,"The team brings rich industry knowledge to Forbes Advisor’s global coverage of consumer credit, debt, health, home improvement, banking, investing, credit cards…",14
Staff Frontend Platform Engineer,https://uk.indeed.com/viewjob?jk=23d54bedcc935fc1,Intercom,Hybrid work in London,,No,"Strong track record of enabling otherengineersor product teams, through frameworks, tooling, or architectural decisions.;Flexible paid time off policy.",15
Senior Software Engineer (Backend),https://uk.indeed.com/viewjob?jk=0be00e9604521189,Linux Recruit,London,,No,"The company is deeply committed to revolutionising the way businesses connect to their SAP systems, providing insightful analysis and transformative solutions.",15
Go Software Engineer,https://uk.indeed.com/viewjob?jk=f5b3d8c487e0b05f,Vidsy,Hybrid work in London,Employee assistance programme;Private medical insurance,No,"In this role, you’ll be involved in the entire feature lifecycle, from concept and development to deployment and performance monitoring.",15
"Data Science Manager, Digital Technologies",https://uk.indeed.com/viewjob?jk=a3c8d202f635b7b0,Medtronic,London,,No,"The Digital Technologies Business Unit (DTBU) at Medtronic is implementing cutting-edgeAItechnology, computer vision, and augmented reality in the operating…",15
Senior Site Reliability Engineer,https://uk.indeed.com/viewjob?jk=5200e02228178f6a,Rithum,London,,No,"Using our commerce, marketing, and delivery solutions, our customers create optimised consumer shopping journeys from beginning to end.",15
"Front End Engineer, Console",https://uk.indeed.com/viewjob?jk=855dff2611ecacfa,evroc,Hybrid work in London,,No,Collaborate Across Teams: Work closely with our backendengineersto ensure seamless integration of design and functionality.,15
